message,timestamp,severity,tags,attributes
"scheduling build on Metal builder ""builder-jorjlx""",2026-09-15T14:03:21.993184792Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
unpacking archive,2026-09-15T14:03:30.086840212Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""45e1421e-1303-446c-9b3c-4ae813f5d233"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":85667840,""duration_ms"":695}"
using build driver railpack-v0.39.0,2026-09-15T14:03:30.172059304Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""45e1421e-1303-446c-9b3c-4ae813f5d233"",""deploymentInstanceId"":null}","{""level"":""info""}"
[railway] prepare railpack-v0.39.0,2026-09-15T14:03:30.563909123Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""45e1421e-1303-446c-9b3c-4ae813f5d233"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:aca29c0c4fcaf712b424e3762331e2713f627ddf1efd97b4b451a8d2c539c4dd"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:55382749a83d2c34e880d96f865c7b9b1dd2ae244f55e444fe69ce515b65caa7"",""sha256:8bdf1f82702cf65aa1de12a35637b4178b96b8ae315bf57ace79583cd860aba0""]}"
local://prepare-driver,2026-09-15T14:03:30.563911066Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""45e1421e-1303-446c-9b3c-4ae813f5d233"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:8bdf1f82702cf65aa1de12a35637b4178b96b8ae315bf57ace79583cd860aba0""}"
local://prepare-context,2026-09-15T14:03:30.563911697Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""45e1421e-1303-446c-9b3c-4ae813f5d233"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:55382749a83d2c34e880d96f865c7b9b1dd2ae244f55e444fe69ce515b65caa7""}"
docker-image://ghcr.io/railwayapp/railpack-builder:mise-2026.8.16,2026-09-15T14:03:30.563912609Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""45e1421e-1303-446c-9b3c-4ae813f5d233"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f1702f8f2933127e8b6a9407027a133afdd8f9ec47ee9ac3c905ba6538c8eef"",""started"":""2026-09-15T14:03:17.600350936Z"",""completed"":""2026-09-15T14:03:18.091814364Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-15T14:03:30.563913149Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""45e1421e-1303-446c-9b3c-4ae813f5d233"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-15T14:03:24.660137503Z"",""completed"":""2026-09-15T14:03:24.921311106Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-15T14:03:30.563913630Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""45e1421e-1303-446c-9b3c-4ae813f5d233"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-15T14:03:24.660137503Z"",""completed"":""2026-09-15T14:03:24.921311106Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:mise-2026.8.16,2026-09-15T14:03:30.563914251Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""45e1421e-1303-446c-9b3c-4ae813f5d233"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f1702f8f2933127e8b6a9407027a133afdd8f9ec47ee9ac3c905ba6538c8eef"",""started"":""2026-09-15T14:03:24.921873079Z"",""completed"":""2026-09-15T14:03:24.922088783Z"",""cached"":true}"
