message,timestamp,severity,tags,attributes
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-15T11:13:55.978874376Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-15T11:13:55.759938847Z"",""completed"":""2026-09-15T11:13:55.978626234Z""}"
local://prepare-driver,2026-09-15T11:13:55.981720526Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:c6a41db5b4d86566698aa1daf9a79ad439c9b137a4053d3fb2473d93e279dfef"",""started"":""2026-09-15T11:13:55.760447049Z"",""completed"":""2026-09-15T11:13:55.981442299Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:mise-2026.8.16,2026-09-15T11:13:55.981856500Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f1702f8f2933127e8b6a9407027a133afdd8f9ec47ee9ac3c905ba6538c8eef"",""started"":""2026-09-15T11:13:47.109179744Z"",""completed"":""2026-09-15T11:13:47.495917153Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:mise-2026.8.16,2026-09-15T11:13:55.981861538Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f1702f8f2933127e8b6a9407027a133afdd8f9ec47ee9ac3c905ba6538c8eef"",""started"":""2026-09-15T11:13:55.981697272Z"",""cached"":true}"
docker-image://ghcr.io/railwayapp/railpack-builder:mise-2026.8.16,2026-09-15T11:13:56.018933270Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f1702f8f2933127e8b6a9407027a133afdd8f9ec47ee9ac3c905ba6538c8eef"",""started"":""2026-09-15T11:13:55.981697272Z"",""completed"":""2026-09-15T11:13:56.018686991Z"",""cached"":true}"
local://prepare-context,2026-09-15T11:13:56.492334408Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6359a2d34f6ea2d2023805ad93a21b6dc2bb414bf8d83f4c7ac02da11a52dcf6"",""started"":""2026-09-15T11:13:55.76062775Z"",""completed"":""2026-09-15T11:13:56.491871944Z""}"
[railway] prepare railpack-v0.39.0,2026-09-15T11:13:56.536826333Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:67d82202603ac24e033493d472c519ab86be51530472b090438d5427d58e508d"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:6359a2d34f6ea2d2023805ad93a21b6dc2bb414bf8d83f4c7ac02da11a52dcf6"",""sha256:c6a41db5b4d86566698aa1daf9a79ad439c9b137a4053d3fb2473d93e279dfef""],""started"":""2026-09-15T11:13:56.536138922Z""}"
"                   
[38;2;125;86;243m╭─────────────────╮[0m
[38;2;125;86;243m│[0m Railpack 0.39.0 [38;2;125;86;243m│[0m
[38;2;125;86;243m╰─────────────────╯[0m

  [97m↳ Detected Node[0m
  [97m↳ Using pnpm package manager[0m
  [97m↳ Found workspace with 9 packages[0m
  [97m↳ Custom start command detected, skipping Caddy start[0m
            
  [1mPackages[0m  
  [38;5;238m──────────[0m
  [95mnode[0m  [38;5;238m│[0m  [96m24.20.0[0m  [38;5;238m│[0m  railpack default (lts)
  [95mpnpm[0m  [38;5;238m│[0m  [96m9.15.9[0m   [38;5;238m│[0m  pnpm-lock.yaml (9)
            
  [1mSteps[0m     
  [38;5;238m──────────[0m
  [95m▸ install[0m
    [38;5;245m$[0m [1mpnpm add -g node-gyp[0m
    [38;5;245m$[0m [1mpnpm install --frozen-lockfile --prefer-offline[0m
         
  [95m▸ build[0m
    [38;5;245m$[0m [1mpnpm run build:api[0m
            
  [1mDeploy[0m    
  [38;5;238m──────────[0m
    [38;5;245m$[0m [1mpnpm start[0m

",2026-09-15T11:13:58.460450276Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""log"",""vertex"":""sha256:67d82202603ac24e033493d472c519ab86be51530472b090438d5427d58e508d"",""stream"":1,""data"":""ICAgICAgICAgICAgICAgICAgIAobWzM4OzI7MTI1Ozg2OzI0M23ila3ilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDila4bWzBtChtbMzg7MjsxMjU7ODY7MjQzbeKUghtbMG0gUmFpbHBhY2sgMC4zOS4wIBtbMzg7MjsxMjU7ODY7MjQzbeKUghtbMG0KG1szODsyOzEyNTs4NjsyNDNt4pWw4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pWvG1swbQoKICAbWzk3beKGsyBEZXRlY3RlZCBOb2RlG1swbQogIBtbOTdt4oazIFVzaW5nIHBucG0gcGFja2FnZSBtYW5hZ2VyG1swbQogIBtbOTdt4oazIEZvdW5kIHdvcmtzcGFjZSB3aXRoIDkgcGFja2FnZXMbWzBtCiAgG1s5N23ihrMgQ3VzdG9tIHN0YXJ0IGNvbW1hbmQgZGV0ZWN0ZWQsIHNraXBwaW5nIENhZGR5IHN0YXJ0G1swbQogICAgICAgICAgICAKICAbWzFtUGFja2FnZXMbWzBtICAKICAbWzM4OzU7MjM4beKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgBtbMG0KICAbWzk1bW5vZGUbWzBtICAbWzM4OzU7MjM4beKUghtbMG0gIBtbOTZtMjQuMjAuMBtbMG0gIBtbMzg7NTsyMzht4pSCG1swbSAgcmFpbHBhY2sgZGVmYXVsdCAobHRzKQogIBtbOTVtcG5wbRtbMG0gIBtbMzg7NTsyMzht4pSCG1swbSAgG1s5Nm05LjE1LjkbWzBtICAgG1szODs1OzIzOG3ilIIbWzBtICBwbnBtLWxvY2sueWFtbCAoOSkKICAgICAgICAgICAgCiAgG1sxbVN0ZXBzG1swbSAgICAgCiAgG1szODs1OzIzOG3ilIDilIDilIDilIDilIDilIDilIDilIDilIDilIAbWzBtCiAgG1s5NW3ilrggaW5zdGFsbBtbMG0KICAgIBtbMzg7NTsyNDVtJBtbMG0gG1sxbXBucG0gYWRkIC1nIG5vZGUtZ3lwG1swbQogICAgG1szODs1OzI0NW0kG1swbSAbWzFtcG5wbSBpbnN0YWxsIC0tZnJvemVuLWxvY2tmaWxlIC0tcHJlZmVyLW9mZmxpbmUbWzBtCiAgICAgICAgIAogIBtbOTVt4pa4IGJ1aWxkG1swbQogICAgG1szODs1OzI0NW0kG1swbSAbWzFtcG5wbSBydW4gYnVpbGQ6YXBpG1swbQogICAgICAgICAgICAKICAbWzFtRGVwbG95G1swbSAgICAKICAbWzM4OzU7MjM4beKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgBtbMG0KICAgIBtbMzg7NTsyNDVtJBtbMG0gG1sxbXBucG0gc3RhcnQbWzBtCgo="",""timestamp"":""2026-09-15T11:13:58.460450276Z""}"
uploading snapshot,2026-09-15T11:13:58.483331517Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":80539864,""duration_ms"":3451}"
[railway] prepare railpack-v0.39.0,2026-09-15T11:13:58.643564670Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:67d82202603ac24e033493d472c519ab86be51530472b090438d5427d58e508d"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:6359a2d34f6ea2d2023805ad93a21b6dc2bb414bf8d83f4c7ac02da11a52dcf6"",""sha256:c6a41db5b4d86566698aa1daf9a79ad439c9b137a4053d3fb2473d93e279dfef""],""started"":""2026-09-15T11:13:56.536138922Z"",""completed"":""2026-09-15T11:13:58.643172431Z""}"
resolve image config for docker-image://ghcr.io/railwayapp/railpack-frontend:v0.39.0,2026-09-15T11:13:59.040579278Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:33798ac83e87face1192e5633c5d8099e12fa829325dac33431920b16c0269e1"",""started"":""2026-09-15T11:13:59.03722807Z""}"
resolve image config for docker-image://ghcr.io/railwayapp/railpack-frontend:v0.39.0,2026-09-15T11:13:59.233888398Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:33798ac83e87face1192e5633c5d8099e12fa829325dac33431920b16c0269e1"",""started"":""2026-09-15T11:13:59.03722807Z"",""completed"":""2026-09-15T11:13:59.233493045Z""}"
docker-image://ghcr.io/railwayapp/railpack-frontend:v0.39.0@sha256:db24dc37640b6887c3d455b40876ea30f75182964479670cba6e4cde7ffef103,2026-09-15T11:13:59.234282799Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:d069463b57183a9c204bc4286bed473cc586e974e422334a385f77d2528276d1"",""started"":""2026-09-15T11:13:46.518819742Z"",""completed"":""2026-09-15T11:13:46.605077503Z""}"
